Event,Fight
UFC Fight Night: Hernandez vs. Pereira,Cameron Smotherman vs. Jake Hadley
UFC Fight Night: Hernandez vs. Pereira,Darren Elkins vs. Daniel Pineda
UFC Fight Night: Hernandez vs. Pereira,Assu Almabayev vs. Matheus Nicolau
UFC Fight Night: Hernandez vs. Pereira,Jean Matsumoto vs. Brad Katona
UFC Fight Night: Hernandez vs. Pereira,Joselyne Edwards vs. Tamires Vidal
UFC Fight Night: Hernandez vs. Pereira,Elise Reed vs. Jessica Penne
UFC Fight Night: Hernandez vs. Pereira,Melissa Martinez vs. Alice Ardelean
UFC Fight Night: Hernandez vs. Pereira,Austen Lane vs. Robelis Despaigne
UFC Fight Night: Royval vs. Taira,Brandon Royval vs. Tatsuro Taira
UFC Fight Night: Royval vs. Taira,Junyong Park vs. Brad Tavares
UFC Fight Night: Royval vs. Taira,Chidi Njokuani vs. Jared Gooden
UFC Fight Night: Royval vs. Taira,Grant Dawson vs. Rafa Garcia
UFC Fight Night: Royval vs. Taira,Daniel Rodriguez vs. Alex Morono
UFC Fight Night: Royval vs. Taira,Ramazan Temirov vs. CJ Vergara
UFC Fight Night: Royval vs. Taira,Pat Sabatini vs. Jonathan Pearce
UFC Fight Night: Royval vs. Taira,Themba Gorimbo vs. Niko Price
UFC Fight Night: Royval vs. Taira,Junior Tafa vs. Sean Sharaf
UFC Fight Night: Royval vs. Taira,Julia Polastri vs. Cory McKenna
UFC Fight Night: Royval vs. Taira,Cody Haddon vs. Daniel Argueta
UFC Fight Night: Royval vs. Taira,Clayton Carpenter vs. Lucas Rocha
UFC 307: Pereira vs. Rountree Jr.,Alex Pereira vs. Khalil Rountree Jr.
UFC 307: Pereira vs. Rountree Jr.,Julianna Pena vs. Raquel Pennington
UFC 307: Pereira vs. Rountree Jr.,Mario Bautista vs. Jose Aldo
UFC 307: Pereira vs. Rountree Jr.,Roman Dolidze vs. Kevin Holland
UFC 307: Pereira vs. Rountree Jr.,Kayla Harrison vs. Ketlen Vieira
UFC 307: Pereira vs. Rountree Jr.,Joaquin Buckley vs. Stephen Thompson
UFC 307: Pereira vs. Rountree Jr.,Iasmin Lucindo vs. Marina Rodriguez
UFC 307: Pereira vs. Rountree Jr.,Alexander Hernandez vs. Austin Hubbard
UFC 307: Pereira vs. Rountree Jr.,Cesar Almeida vs. Ihor Potieria
UFC 307: Pereira vs. Rountree Jr.,Ryan Spann vs. Ovince Saint Preux
UFC 307: Pereira vs. Rountree Jr.,Tecia Torres vs. Carla Esparza
UFC 307: Pereira vs. Rountree Jr.,Court McGee vs. Tim Means
